Hauteur
5,173833333
5,4438
5,445333333
5,28
5,0972
4,71
4,326333333
3,853666667
3,31075
2,8095
2,831857143
3,7986
4,9014
5,467
5,566666667
5,405
5,299
4,828
4,57
3,8375
3,374
2,988
2,57125
2,804666667
3,926
4,856333333
5,457333333
5,805
5,73
5,447
4,866
4,236333333
3,704
3,073
2,706666667
2,566333333
3,693666667
4,9122
5,5148
5,776
5,732
5,495
5,105
4,6545
4,059
3,3605
2,815
2,34825
2,420666667
4,051
5,10625
5,769333333
6,0906
6,01
5,619
5,103666667
4,186
3,6055
3,059
2,541666667
2,423444444
3,507666667
4,7966
5,498333333
6,0264
6,099
5,7945
5,400333333
4,944
4,22
3,5525
2,935666667
2,37675
2,4562
3,7945
5,309333333
6,1395
6,5328
6,37875
5,959333333
5,22
4,292
3,834333333
3,233666667
2,678
2,353
3,200875
4,875166667
5,68
6,316
6,4736
6,189
5,694
4,95
4,0995
3,625
3,009333333
2,405666667
2,418555556
4,039666667
5,4438
6,2742
6,76
6,6452
6,0815
5,525
4,710666667
3,963666667
3,269
2,657
2,28425
3,2175
4,899
5,74225
6,46275
6,6052
6,183333333
5,7275
4,684
4,24675
3,433
2,8895
2,251
2,5502
4,1264
5,532666667
6,417666667
6,8154
6,7504
6,082
5,2995
4,4995
3,746
3,246
2,643333333
2,181428571
3,288375
5,04725
5,8384
6,54325
6,631
6,16
5,426666667
4,881
4,148
3,467333333
2,695
2,18125
2,668125
4,617
5,7446
6,594333333
6,9174
6,6788
5,892
5,157
4,519
3,921
3,007
2,4925
2,296875
3,624666667
5,3448
6,07725
6,63
6,63
6,150666667
5,502
4,607333333
3,98875
3,162
2,74
2,24425
3,1215
4,927833333
6,0118
6,617
6,7934
6,487
5,812
5,13625
4,245
3,771
2,986
2,435
2,360444444
3,895833333
5,5246
6,26625
6,55825
6,4025
5,95775
5,33
4,58875
3,964
3,242
2,6065
2,4566
3,684142857
5,323666667
6,3015
6,66
6,647666667
6,348
5,782
4,9744
4,2925
3,65
3,015
2,3235
2,694727273
4,3388
5,4002
6,1022
6,2828
5,805333333
5,2635
4,865666667
4,2565
3,553
3,0205
2,415
2,3378
3,6824
5,21
5,97125
6,381166667
6,1516
5,845
5,202
4,83125
3,768
3,334
2,655
2,109333333
2,891
4,609666667
5,369333333
5,8818
5,8596
5,36
4,9015
4,531
3,759666667
3,218
2,754666667
2,149166667
2,601875
4,437333333
5,2575
5,94925
6,099833333
5,714
5,325666667
4,8205
4,2205
3,58
2,883
2,426
2,2463
3,3716
4,854
5,587166667
5,788
5,472333333
5,03725
4,767
4,313
3,811
3,166
2,627
2,317625
3,0746
4,57275
5,484
5,974
5,89625
5,391
5,113666667
4,706
4,304
3,275
2,9425
2,402
2,3676
3,6792
4,915833333
5,432
5,4772
4,997
4,80775
4,695
4,302
3,7855
3,326
2,672
2,468857143
3,184
4,626166667
5,354
5,686666667
5,622
5,167333333
4,878
4,489333333
3,8565
3,381
2,805666667
2,3792
2,621111111
3,88625
4,786
5,26225
5,31125
4,9075
4,665333333
4,512666667
4,022
3,623333333
3,113666667
2,673
2,440375
3,177
4,401833333
5,08975
5,437
5,349
5,0245
4,727
4,472
